row ID,row m/z,row retention time,Pooled_Urine_5_posneg_b.mzXML Peak area,Urine_05_Top10_POS.mzXML Peak area,Urine_05_Top10_posneg.mzXML Peak area,Urine_101_Top10_posneg.mzXML Peak area,Urine_14_Top10_posneg.mzXML Peak area,Urine_19_Top10_POS.mzXML Peak area,Urine_19_Top10_posneg.mzXML Peak area,Urine_20_Top10_POS.mzXML Peak area,Urine_20_Top10_posneg.mzXML Peak area,Urine_22_Top10_posneg.mzXML Peak area,Urine_23_Top10_posneg.mzXML Peak area,Urine_25_Top10_posneg.mzXML Peak area,Urine_37_Top10_POS.mzXML Peak area,Urine_37_Top10_posneg.mzXML Peak area,Urine_44_Top10_POS.mzXML Peak area,Urine_44_Top10_posneg.mzXML Peak area,Urine_60_Top10_posneg.mzXML Peak area,Urine_61_Top10_POS.mzXML Peak area,Urine_61_Top10_posneg.mzXML Peak area,Urine_64_Top10_POS.mzXML Peak area,Urine_64_Top10_posneg.mzXML Peak area,Urine_66_Top10_posneg.mzXML Peak area,Urine_67_Top10_posneg.mzXML Peak area,Urine_73_Top10_POS.mzXML Peak area,Urine_73_Top10_posneg.mzXML Peak area,Urine_74_Top10_POS.mzXML Peak area,Urine_74_Top10_posneg.mzXML Peak area,Urine_76_Top10_posneg.mzXML Peak area,Urine_84_Top10_posneg.mzXML Peak area,Urine_86_Top10_posneg.mzXML Peak area,Urine_87_Top10_POS.mzXML Peak area,Urine_87_Top10_posneg.mzXML Peak area,Urine_88_Top10_posneg.mzXML Peak area,Urine_90_Top10_POS.mzXML Peak area,Urine_90_Top10_posneg.mzXML Peak area,Urine_91_Top10_POS.mzXML Peak area,Urine_91_Top10_posneg.mzXML Peak area,Urine_95_Top10_posneg.mzXML Peak area,Urine_96_Top10_posneg.mzXML Peak area,
11,85.0507583618164,5.728291666666667,1.9980921513329694E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100866813472734E8,
12,86.09640502929688,21.08655555555556,9.926454558106596E8,0,0,0,0,0,0,0,0,0,0,4.3696322949232423E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.358707658954294E8,0,0,0,0,
13,88.07566579182942,16.681255555555556,2.9563332762597656E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2520711760731634E8,0,0,0,0,0,0,0,0,0,0,2.4759314803268743E8,
14,88.08690388997395,7.6629499999999995,1.4599065989117578E8,0,0,4.68881822641207E8,0,0,0,0,0,0,0,4.390835845495118E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,90.05497794315733,10.545940804597704,1.2802405282415615E8,3.3945193097250384E8,1.9359171275023428E8,0,1.7160890923596463E8,7.214519674328748E8,4.093690585336641E8,4.1028806625563633E8,1.102950106682813E8,1.819454352966717E8,2.1534136548659372E8,1.457867249178358E8,2.5871551222387502E8,3.983066466018823E8,1.7427545047854304E8,1.6965007165921095E8,2.093455658932889E8,0,0,1.3513289276328894E8,0,2.8835932629706204E8,0,1.9782675793873835E8,1.6260838792017174E8,1.844492584954764E8,0,0,3.252797366939767E8,2.1008643287614816E8,4.218065110475626E8,0,2.6579870317464858E8,5.328356212190858E8,2.1253394369128948E8,4.53751788178254E8,1.2660340342562494E8,0,0,
16,90.09136962890625,13.015036666666665,1.280004094148672E8,0,0,0,2.115830985412068E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.217221004612109E7,0,0,0,0,0,0,0,0,8.738576583716406E7,3.892060581993945E8,
17,92.07058824811664,14.931457738095242,8.089238867927341E7,0,0,6.106440131873831E7,0,0,1.0817037379803516E8,0,1.098142367659141E8,7.598360526416412E7,8.230894901482031E7,6.106963438303903E7,5.325724076485934E7,0,4.6621868493574224E7,5.359379232243357E7,7.594771901710548E7,0,4.0206088647621095E7,3.639885711102342E7,5.7949696704914056E7,1.0731503030548438E8,1.284987726203281E8,0,4.030851616404684E7,1.6849107743038672E8,2.0139905660331255E8,6.7042523443390645E7,3.424972147995702E7,1.0997552396092962E8,0,8.73775933953711E7,6.386103482480857E7,0,1.0269217788056633E8,0,5.800411809288669E7,9.373710096472655E7,9.507396148616405E7,
18,94.06507110595703,16.676983333333332,3.071379474189574E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4917847.60631248,
19,94.92956509797469,21.84078260869565,1.2753449402535987E9,0,1.3313226412708597E9,1.2980160947163513E9,1.6040413494909647E9,0,1.8502701405270073E9,0,1.6148950623359687E9,9.371292585184618E8,1.4747789300091405E9,1.193427524690836E9,0,0,0,0,1.1932153137975783E9,0,1.2000151218632271E9,0,0,1.7286732309789493E9,1.518615453812078E9,0,0,0,2.0894584442220619E9,1.6642075830387814E9,1.2324932960477898E9,1.6519610102389064E9,0,1.605551922820342E9,1.9771773175485005E9,0,1.130519352204064E9,0,1.979493347160095E9,1.2556884857431715E9,1.2420281423539648E9,
20,95.06835174560547,16.6248,3.9116755889234024E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,96.92770080566406,21.789116666666665,4.037201635454375E8,0,0,0,5.577025104592111E8,0,0,0,4.471504303629375E8,0,0,0,0,0,0,0,0,0,0,0,0,4.5081075983353883E8,0,0,0,0,6.135161015351796E8,4.567428529232267E8,0,0,0,0,5.405689753766487E8,0,4.134374816713909E8,0,7.670145240062034E8,0,5.225168672858671E8,
22,96.957337697347,20.44719444444444,7.606094388573441E7,0,0,0,0,0,0,0,8.807089478399217E7,0,0,0,0,0,0,0,1.0566014303973046E8,0,0,0,0,0,0,0,0,0,0,9.653628903005858E7,1.0201849360517189E8,0,0,7.511966244859767E7,0,0,0,0,0,0,0,
23,97.99134826660156,18.636666666666667,5.032829135452815E8,0,0,0,0,0,6.305100498604529E8,0,0,0,6.632184248466637E8,0,0,0,0,0,0,0,0,0,0,0,7.219717307300621E8,0,0,4.7631427981440216E8,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,98.98414611816406,11.301416666666666,1.4640332071022272E8,0,0,0,0,0,0,0,0,0,3.805178932578357E8,0,0,2.2377583679266414E8,0,0,0,0,0,0,0,0,0,0,0,2.6843367702230498E8,2.5045824612891027E8,0,0,0,0,0,0,0,0,0,0,0,0,
25,98.99547649565197,21.864436507936507,1.058575270847658E7,0,1.2005590823461726E8,1.139719780378905E7,9.438655689041008E7,0,1.84063902307031E7,0,0,0,0,1.4243263916601589E7,2.6074964460781194E7,2.5319505179062493E7,1.507200305598595E8,1.628577067554766E8,0,0,0,8610958.930039087,0,0,0,1.1479739715624986E7,0,2.873624306917967E7,2.898303965253905E7,0,1.2937577265318748E8,1.934326757828124E7,0,1.5906637657539004E7,1.680555175418594E8,0,1.3893053261562541E7,0,1.8925579197343774E7,8883884.778007805,0,
26,100.07565843736803,7.12144054054054,7.830787018119767E8,1.797720271905576E9,1.2275339001776912E9,5.2375468245321864E8,8.914533372899066E8,1.124962332324036E9,8.176721864124224E8,3.5370628888793116E9,1.1889305155483584E9,1.8858459730577056E9,2.5804326209938736E9,5.390797940837928E8,1.3367904760864508E9,1.374704761274794E9,9.892230580278245E8,1.02968374626816E9,2.215370663719123E9,8.90143568772949E8,7.213776804311008E8,9.345979986202302E8,5.05425327907219E8,1.106307676551918E9,1.9646313572218704E9,1.0046556152767535E9,1.0697700133655472E9,1.1508352847529767E9,1.241232051954887E9,0,8.454620583123783E8,5.983976570786403E8,1.8322643169283864E9,1.4877602410312023E9,3.7232857903833246E9,2.6731214012120113E9,9.652646715200124E8,1.1472828030252264E9,0,6.055097054834605E8,6.045602913290503E8,
27,101.07093811035156,1.87255,1.7341869408285543E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,102.09131969105114,8.366786363636363,2.740809894607498E8,0,0,0,5.119590433755975E8,5.77489487638601E8,3.767866809743248E8,0,0,3.966553572108401E8,0,0,0,0,0,0,0,0,0,2.1974595282460174E8,4.271682089941249E8,4.254090691303516E8,0,0,0,2.9142256380260205E8,3.1597366113195723E8,0,1.1911207199933198E8,0,0,0,0,0,0,0,0,0,0,
29,103.0614242553711,19.4055,8.770691600505859E7,0,0,0,0,0,0,0,0,0,7.305796535210939E7,0,0,0,0,0,0,0,0,0,0,1.0543237016054693E8,0,0,0,0,0,0,1.5155075004726566E7,0,0,0,0,0,4.1353054615468785E7,0,0,0,0,
30,103.086572265625,16.508779999999998,1.0875707456921077E8,0,1.15418801859961E7,2.6541948147937443E7,0,0,2.7984138166484293E7,0,0,2.243432882554299E7,1.0394101865341058E8,3.925488262302336E7,0,0,6.937515151442969E7,8.017772134084393E7,7.844646247599994E7,0,1.5494553476914108E7,0,0,2.2512314460063267E8,0,4.415720446285938E7,4.137414224280465E7,2.4107919263944528E8,2.27331069644E8,4.943967878750005E7,2.0321770633882817E7,9.066243347021863E7,0,5.033623954493754E7,1.0132935147532836E8,0,7.832534205517577E7,0,1.1349145063930841E8,7.495690425161728E7,5.400655088413676E7,
31,104.07057414335362,10.192892156862746,3.245152028671622E9,0,0,0,0,0,0,1.0394139109092829E10,5.943422036723601E9,0,0,3.9281799601227865E9,3.5689531938244896E9,3.9451138165923715E9,3.6298083321828523E9,4.54444917829846E9,0,0,0,4.350654999002117E9,5.431493636733797E9,0,2.0379683219984229E9,1.484856599268031E9,1.7295958001792824E9,2.7313831477434154E9,2.9079369822419243E9,0,0,3.825144900167134E9,0,0,0,0,0,0,0,6.849879044775729E9,0,
32,104.10694122314453,15.094155555555554,3.464129255634532E9,0,0,0,0,0,0,0,0,0,0,3.110296383592407E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35768319883254E9,
33,105.03348000844319,5.409008333333333,1.5228910958030708E9,0,6.150195313497034E9,0,0,0,4.346788948035619E9,0,7.920762144943475E8,4.275588797933535E9,2.350440246487165E9,1.5791374470997033E9,2.0478864056343794E9,2.1128746042835197E9,2.485233434370445E9,2.80565208601578E9,0,0,1.760039843470531E9,3.5901897545944586E9,1.7460692111928422E9,4.644017870008392E9,1.4449811254835E9,2.796765189815524E9,3.170723515753333E9,1.4667745816128662E9,1.7166658264282422E9,0,4.623358914858053E9,7.377312475394438E9,0,4.1111482286382203E9,0,0,1.1573028108337107E9,0,0,0,0,
34,105.11030832926433,15.094155555555554,2.5906791489745316E8,0,0,0,0,0,0,0,0,0,0,2.3463692302254692E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6612421682113644E8,
35,105.95371640961746,22.76987931034483,1.667280192974062E8,0,0,1.8066598625553513E8,1.6160052881187886E8,0,1.6017480476842973E8,0,2.0969469823580867E8,1.691778720248633E8,1.5852693905192575E8,1.457759435224375E8,3731821.496054701,0,6687916.776132792,2.1046644096E8,1.6062949648592192E8,0,1.7166971591974604E8,6828557.884453127,1.6395987944682807E8,0,1.56198629299164E8,1.4451074676448438E8,1.6912382796373037E8,5.0993737909914084E7,1.472463704600625E8,1.2762666033007799E7,1.4219147325668746E8,1.5367226977616015E8,0,1.4075686289105466E8,1.5707128067908987E8,0,1.8834319469460154E8,0,1.521356673731875E8,1.5473568977958593E8,1.994358182348008E8,
36,106.08627720883018,8.830244298245615,4.363806533636403E8,3.466582764654137E8,2.0514614773775414E8,3.534264914378248E8,0,1.2749378045756502E9,3.945514690170011E8,1.077456243371948E9,1.1966388457184086E9,1.0300447710520226E9,5.3137774379115146E8,3.771496538875034E8,4.146895691200939E8,4.2376862083696514E8,2.7372932042656726E8,2.990067016830865E8,6.068834127900246E8,4.648065331763629E8,3.337884068947811E8,4.2268617203157675E8,4.655752828881932E8,6.020863654808756E8,7.993988678187469E8,3.6117894240446895E8,4.0197908917188776E8,1.2062895243980799E9,1.335834332570842E9,7.35285028997011E8,2.9666514595967966E8,7.467335878987331E8,1.6330032140002792E9,5.646475810728981E8,8.079992815397482E8,7.062591939263175E8,2.1818590412721167E9,7.116394165968709E8,4.9915252765202326E8,4.8532482026097214E8,1.7974521191502348E8,
37,106.97158189253373,20.86031818181818,2.7801426374257848E7,0,0,3.526724382687502E7,0,0,1.921276171789064E7,0,0,2.3227479653828148E7,2.712559164851569E7,0,0,0,0,1.8250237646484442E7,0,0,1.6911467224062525E7,1.4559515771953134E7,0,2.3707635287421893E7,0,0,0,0,0,0,0,0,0,0,0,0,3.1868280983281214E7,0,0,2.105006871054689E7,0,
38,108.08077239990234,16.02296666666667,1.511648409322813E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,109.0760726928711,17.165583333333334,1.443605636108202E8,0,0,0,0,0,0,0,0,0,0,1.3214311217933588E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,110.06009582519532,8.154706666666668,8.370805921504644E8,1.1156247552621092E8,0,0,1.9384711390418417E9,4.686634180076874E8,3.032509380442968E8,6.65412370202254E8,8.593268834905397E8,2.7814186229702606E9,2.4123040708165228E8,2.011625001745469E8,2.3106096250808638E8,0,0,0,0,0,0,5.831669840880178E8,5.824290554781706E8,8.077421755374173E8,0,3.677806913834959E8,5.182023046649766E8,4.140956830597752E9,4.376981678655308E9,0,8.062696440275706E8,5.604385650752261E8,0,0,4.5766733633857846E8,5.606488441799769E8,1.0115301788505706E9,4.0589003917151964E8,8.649405830801215E8,0,0,
41,111.1168098449707,22.395305555555556,5.300980215677814E8,0,0,5.226901672412112E8,0,0,0,0,0,0,0,5.368105029634842E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1792276133417207E8,0,0,0,0,0,0,0,0,5.805080102537887E8,0,6.149382261456248E8,
42,112.08683776855469,10.3337875,2.1467685581747657E8,0,0,0,0,1.6568140535196533E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61339655550621E9,0,2.5446817982027334E8,0,0,0,0,0,0,
43,112.93120998806424,22.105185185185185,1.5222656565468755E7,0,0,0,0,0,0,0,2.1497974281484384E7,2.336236950710939E7,0,2.1461198966406263E7,0,0,0,1.6183452624570316E7,2.2675190351328142E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2435736904921897E7,0,0,2.479470880679692E7,2.4181304848906226E7,
44,113.08218383789062,5.636308333333334,6.708976747364767E8,0,0,1.7618543175770028E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,114.06615291497646,8.270249999999999,3.868898813837779E10,4.7623134897226654E10,3.3935116372477695E10,3.0126828816615646E10,5.399053693569281E10,7.158514962100781E10,4.202030211898561E10,1.2406034437670674E11,4.9100578444230286E10,4.325142447532382E10,4.542516758406991E10,3.1842985035221565E10,4.805942708024674E10,4.889097566207008E10,3.739589661203463E10,3.835670437003757E10,4.547656006290154E10,5.86279209694792E10,3.976162340499196E10,3.576380844784051E10,3.2491813036593197E10,4.682180151706477E10,5.44598736918347E10,4.103596492186472E10,4.154379687851582E10,5.322799404979755E10,5.417149526417955E10,4.4495616276854614E10,3.840670032489528E10,4.195069290221211E10,9.21063449978834E10,4.885746083944145E10,5.304615843115527E10,9.007676718084006E10,4.0549462328847374E10,1.2391036130406116E11,4.8198313534468254E10,4.1811003683348625E10,3.3558626639430126E10,
46,114.0913554600307,15.137547619047622,7.684590653659414E8,0,0,0,2.9632700425329685E9,0,0,0,0,0,0,0,1.3324551339845002E9,0,1.311081271215711E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1389504150644996E9,1.078094452585719E9,1.259934963345531E9,
47,115.06943805401141,8.273447863247862,1.9497231944695508E9,2.2514653677651415E9,2.2134039650148664E9,1.991140927714411E9,2.69651475293983E9,3.228662704012058E9,2.2585104688851113E9,5.401709412289824E9,2.7874949679339476E9,2.2998426112697353E9,2.333309151450067E9,2.0767418551973798E9,2.1756134950498843E9,2.319886713044125E9,1.9262527419768932E9,2.0311633683988297E9,2.5913604981787586E9,2.7955299976089845E9,2.4979113229482164E9,2.0349527077284596E9,1.951670235642875E9,2.2475330542905912E9,2.9802243274933014E9,2.1988756546436596E9,2.3360781108461137E9,2.5438661828740244E9,2.547899106259043E9,2.382620917329999E9,2.1445752212513468E9,2.3866063437003264E9,4.1689613082446747E9,2.5442173080300503E9,2.7448907623185835E9,4.0318824628285594E9,2.2922189325537176E9,5.460562569598786E9,2.457889517846906E9,2.3455321610494094E9,1.863518279009706E9,
48,115.08661577778477,9.004050537634408,7.346095458826721E8,0,5.873675997920272E8,9.208563493821602E8,0,0,4.5731444804334396E8,0,8.54533107232775E8,6.644746695858208E8,1.2908618991668386E9,4.785841536808942E8,6.194107896960583E8,9.082273337156451E8,5.204864433166639E8,6.609140215985271E8,7.09093061580345E8,0,5.528729091489574E8,3.812742550763519E8,5.825992772264411E8,6.40459226458027E8,8.967542378706781E8,5.242142456514064E8,1.2960966219821758E9,1.065432167507442E9,1.1847750191703284E9,6.150386049391863E8,5.721943274613863E8,1.17200268163256E9,0,8.701877183157841E8,9.203368287068827E8,0,7.730313656906836E8,0,8.26826407625468E8,7.718400031236093E8,3.5954034478457755E8,
49,116.07060180664062,9.635003999999999,1.5274637121142116E9,0,0,1.4829820341070309E9,2.059682396833813E9,0,0,0,1.2996422792902262E9,1.8823304271209679E9,0,1.5813779938378353E9,8.816431459041711E8,0,1.0000844702375543E9,1.2573733107778091E9,2.0872292177403178E9,0,0,0,9.101535130142028E8,2.7358340856634603E9,1.3838231263981476E9,9.88593485530822E8,1.2672017088734288E9,1.0793188036957817E9,1.4787900926300619E9,1.0561097054945165E9,2.615931775040286E9,1.4727338461751306E9,0,0,0,1.131499272339922E9,1.4981674168728814E9,1.717875196095388E9,1.7134250210370934E9,1.508344044643678E9,0,
50,116.09309726291232,12.013205555555555,5.706526432068282E8,0,0,6.528098396743855E9,0,0,0,0,5.414217780987186E8,0,0,2.4520836952069054E9,0,0,0,0,0,0,0,0,7.66879274495047E8,0,0,0,0,0,0,3.948296701196126E9,0,0,0,0,0,0,6.886390628908437E8,0,7.999573957232816E8,0,7.015714156950934E8,
51,116.10695457458496,13.564495833333332,3.4606740860684E9,0,0,0,0,0,0,0,0,0,4.2265275504399467E9,2.567554353694704E9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8633441799488194E9,
52,117.11026763916016,13.596800000000002,3.3061769084235966E8,0,0,0,0,0,0,0,0,0,0,2.4611159966017202E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1966976061718744E8,
53,118.06103621588812,11.166077777777778,8.357947931935447E9,5.964818481189689E9,7.745653831955541E9,0,3.541964467661864E9,1.2762323442429724E10,1.2336127524666021E10,3.33229669013566E9,3.9108202147044334E9,6.313230656655021E9,8.479396256950311E9,7.023959111774488E9,2.53345942447182E9,0,8.750658915487259E9,1.0804800681116165E10,3.83189212249207E9,4.856344381906502E9,6.160264251456291E9,4.716266055348485E9,5.66254493467281E9,6.661353290248938E9,1.1851294792660788E10,4.003271806937712E9,4.92298175566744E9,1.036235837067518E10,1.0974209037088686E10,6.1162107273825865E9,3.109040604730173E9,1.3145438422814047E9,3.4055750762409673E9,4.207728095168187E9,8.145092047388286E9,4.10056077615127E9,9.375119312534452E9,3.641694832231751E9,0,7.115483712869099E9,2.8413741617420917E9,
54,118.08619474753355,8.86082905982906,9.417739643403793E9,6.391111722645845E9,5.578843972476892E9,5.79809520244447E9,7.776525725301329E9,1.552076165533675E10,1.4914779478879036E10,7.089356296807552E9,6.755162913214789E9,1.179701245518057E10,1.2544423836279139E10,2.073884163973957E10,7.902378763986628E9,8.927907445838724E9,6.404063703280129E9,6.63276613878567E9,1.3744698427260572E10,3.533489082265542E9,3.2031008040422244E9,4.163925510776734E9,4.528463392272296E9,1.4656731477739784E10,7.685847755676631E9,4.810850310492622E9,4.8522652716997175E9,5.765522080639044E9,6.375119154105405E9,6.5532716748083105E9,1.4162477732187723E10,5.806034620623369E9,7.283014012156527E9,8.151479148565034E9,1.3653705372415443E10,1.4047916519453783E10,1.5991165421333124E10,9.456795428042923E9,8.72566181647381E9,8.206508302924054E9,3.7104795903673525E9,
55,120.06557112473708,7.929560256410255,1.135272427003911E9,0,0,0,0,0,1.832201562939362E9,0,9.562141277070705E8,0,0,0,2.030134287315972E9,2.485511438634399E9,1.2029639379661374E9,0,1.9291989976574225E9,0,1.2367849841669366E9,7.006815680000788E8,0,2.041562715131846E9,0,8.797061678033676E8,1.1010931988517725E9,0,0,0,0,0,0,0,2.1419712539992044E9,0,0,0,0,0,0,
56,120.09019012451172,8.883073333333334,1.8293553250372654E8,0,0,0,0,5.1514643201294905E8,2.2772965780034772E8,0,0,0,0,0,0,0,0,0,0,0,0,1.5119345993683583E8,0,3.0993525881067973E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,120.10191345214844,12.47038,1.386083077002461E8,0,0,0,2.729477089124455E8,0,0,0,1.778131306480312E8,0,1.0811625347147661E8,1.8282401787819535E8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
